run,trial,dual,cueStart,trackingStart,respStart
1,1,True,4.0,5.95,20.9
1,2,False,26.75,30.0,43.65
1,3,False,49.5,52.1,74.2
1,4,True,100.2,101.5,115.15
1,5,False,121.65,126.85,141.8
1,6,True,147.0,150.25,163.25
1,7,False,169.1,172.35,188.6
1,8,True,199.0,205.5,229.55
2,1,False,4.65,5.95,22.2
2,2,True,28.05,30.65,54.05
2,3,False,65.1,68.35,91.75
2,4,True,99.55,107.35,120.35
2,5,True,126.2,130.75,147.65
2,6,False,154.8,156.1,173.0
2,7,False,178.2,186.0,204.2
2,8,True,212.65,215.25,231.5
3,1,False,4.65,11.8,27.4
3,2,True,37.8,41.05,57.3
3,3,False,69.0,70.95,87.85
3,4,False,94.35,100.85,116.45
3,5,True,123.6,126.2,140.5
3,6,False,148.95,150.25,163.9
3,7,True,176.25,180.8,202.9
3,8,True,213.95,216.55,231.5
4,1,True,14.4,18.95,33.9
4,2,True,39.75,41.7,55.35
4,3,False,63.15,67.7,85.25
4,4,False,91.75,96.95,112.55
4,5,True,124.9,126.85,144.4
4,6,False,152.85,156.1,169.75
4,7,True,179.5,180.8,193.8
4,8,False,203.55,215.9,232.8
5,1,True,4.65,10.5,24.15
5,2,False,29.35,38.45,56.0
5,3,True,62.5,65.75,78.75
5,4,False,87.2,89.15,117.75
5,5,False,124.9,135.95,150.9
5,6,False,156.1,157.4,170.4
5,7,True,180.8,184.7,201.6
5,8,True,206.8,208.75,232.15
6,1,False,11.8,13.1,30.65
6,2,False,35.85,37.8,56.65
6,3,True,61.85,65.1,82.65
6,4,False,90.45,96.95,113.2
6,5,True,124.25,128.15,141.8
6,6,True,148.3,150.9,173.0
6,7,True,182.75,184.05,199.65
6,8,False,208.75,210.7,225.0
7,1,False,8.55,11.15,32.6
7,2,True,44.95,48.85,63.8
7,3,False,69.65,72.9,85.9
7,4,True,105.4,108.65,127.5
7,5,False,134.65,136.6,150.25
7,6,False,161.95,167.15,182.75
7,7,True,191.85,196.4,209.4
7,8,True,215.25,217.85,232.15
8,1,False,4.0,7.9,22.2
8,2,True,28.7,30.65,43.65
8,3,True,55.35,57.3,74.2
8,4,True,83.3,92.4,108.0
8,5,False,124.9,130.75,143.75
8,6,False,150.9,160.65,174.95
8,7,False,182.1,189.9,205.5
8,8,True,211.35,213.3,226.95
9,1,True,9.85,17.65,31.3
9,2,False,38.45,39.75,56.65
9,3,False,67.05,74.2,89.15
9,4,True,97.6,98.9,114.5
9,5,True,127.5,130.75,147.65
9,6,False,163.9,171.7,184.7
9,7,False,190.55,195.1,211.35
9,8,True,216.55,218.5,234.1
10,1,False,4.65,15.7,28.7
10,2,False,34.55,38.45,57.95
10,3,True,63.15,64.45,78.1
10,4,True,83.95,87.2,102.15
10,5,False,107.35,110.6,129.45
10,6,True,138.55,158.05,172.35
10,7,False,183.4,188.6,202.25
10,8,True,210.05,211.35,226.95
