run,trial,dual,cueStart,trackingStart,respStart
1,1,True,15.05,17.0,30.0
1,2,False,35.85,39.1,54.05
1,3,False,60.55,61.85,80.7
1,4,False,90.45,94.35,108.0
1,5,True,121.65,123.6,136.6
1,6,True,148.95,150.9,163.9
1,7,False,171.7,190.55,206.15
1,8,True,215.25,217.2,230.85
2,1,False,8.55,13.1,37.15
2,2,True,47.55,48.85,63.8
2,3,True,70.3,71.6,84.6
2,4,False,95.65,96.95,112.55
2,5,True,117.75,119.05,145.05
2,6,False,154.15,160.65,180.15
2,7,True,187.95,195.75,212.0
2,8,False,217.2,219.8,234.1
3,1,True,12.45,16.35,30.65
3,2,False,39.1,43.0,68.35
3,3,False,73.55,76.15,92.4
3,4,False,98.25,99.55,112.55
3,5,True,121.0,124.25,137.25
3,6,False,148.3,152.85,171.7
3,7,True,183.4,185.35,198.35
3,8,True,214.6,215.9,234.75
4,1,False,4.65,8.55,22.85
4,2,True,28.7,33.9,50.8
4,3,False,56.65,58.6,72.9
4,4,True,80.7,85.25,100.2
4,5,True,113.85,119.05,132.05
4,6,False,150.9,161.95,174.95
4,7,False,180.15,181.45,194.45
4,8,True,202.9,206.15,230.2
5,1,True,4.65,8.55,24.8
5,2,True,41.7,43.65,57.3
5,3,False,71.6,72.9,86.55
5,4,True,94.35,95.65,109.3
5,5,False,117.75,123.6,138.55
5,6,False,147.0,148.3,163.25
5,7,False,171.7,173.0,197.05
5,8,True,202.9,213.3,230.85
6,1,False,6.6,15.7,29.35
6,2,True,36.5,41.05,54.05
6,3,True,59.9,63.15,78.1
6,4,False,85.9,98.25,114.5
6,5,False,121.65,132.05,151.55
6,6,True,160.0,163.9,178.2
6,7,True,184.7,187.3,204.2
6,8,False,209.4,216.55,233.45
7,1,True,5.3,11.8,25.45
7,2,True,32.6,34.55,59.9
7,3,False,69.65,72.9,85.9
7,4,True,92.4,94.35,108.0
7,5,False,118.4,124.25,137.9
7,6,False,152.85,158.05,171.7
7,7,False,179.5,183.4,196.4
7,8,True,206.15,208.1,230.85
8,1,False,5.95,9.2,22.2
8,2,True,30.0,38.45,52.75
8,3,True,59.25,67.05,80.05
8,4,False,87.85,96.95,113.85
8,5,True,131.4,135.95,151.55
8,6,False,160.65,163.25,180.15
8,7,True,187.3,193.8,208.1
8,8,False,213.3,217.85,232.8
9,1,True,6.6,13.1,26.1
9,2,True,31.3,39.1,52.1
9,3,False,60.55,62.5,76.8
9,4,False,83.95,85.9,98.9
9,5,True,115.8,117.1,132.7
9,6,False,142.45,150.25,165.85
9,7,True,173.65,178.85,191.85
9,8,False,213.3,215.9,229.55
10,1,False,4.0,5.3,21.55
10,2,True,30.65,33.25,46.25
10,3,True,52.75,56.65,76.8
10,4,False,93.7,105.4,130.75
10,5,True,137.9,139.2,158.7
10,6,False,164.55,168.45,182.1
10,7,False,191.85,193.15,206.15
10,8,True,211.35,212.65,233.45
