trial,stim,color,answer,response_L,response_R,correct,reactionTime
1,1,green,0,1,1,0,1.0120704990113154
1,2,yellow,0,1,1,0,0.9792931859847158
1,3,green,1,1,1,0,1.0122496370458975
1,4,red,0,1,1,0,1.0142801530309953
1,5,yellow,0,1,1,0,0.8960702150361612
1,6,blue,0,1,1,0,1.011292803043034
1,7,yellow,1,1,1,0,0.2936456820461899
1,8,red,0,1,1,0,0.628122954047285
1,9,green,0,1,1,0,0.8632858810015023
1,10,yellow,0,1,1,0,1.0109843510435894
1,11,green,1,1,1,0,1.0115467690047808
1,12,red,0,1,1,0,1.011527938011568
