run,trial,dual,cueStart,trackingStart,respStart
1,1,False,8.55,14.4,27.4
1,2,False,43.0,44.95,61.2
1,3,True,67.05,79.4,95.0
1,4,True,104.75,107.35,123.6
1,5,True,131.4,134.65,148.3
1,6,False,156.1,161.3,174.95
1,7,False,182.75,192.5,205.5
1,8,True,215.25,219.8,234.1
2,1,True,7.9,9.2,22.85
2,2,True,28.7,38.45,52.1
2,3,False,63.8,65.1,79.4
2,4,False,84.6,85.9,100.85
2,5,True,110.6,118.4,150.25
2,6,False,157.4,161.95,180.15
2,7,True,191.85,193.8,206.8
2,8,False,212.0,215.25,230.2
3,1,False,11.15,16.35,29.35
3,2,True,37.15,45.6,59.25
3,3,True,72.9,80.05,103.45
3,4,False,113.2,115.8,128.8
3,5,False,135.95,139.2,152.2
3,6,False,158.7,162.6,175.6
3,7,True,182.75,189.25,208.75
3,8,True,218.5,220.45,234.1
4,1,True,4.65,5.95,19.6
4,2,False,28.05,37.15,51.45
4,3,False,59.25,64.45,78.1
4,4,True,89.15,92.4,105.4
4,5,True,110.6,117.75,135.3
4,6,False,141.15,147.65,161.3
4,7,False,168.45,176.9,193.8
4,8,True,213.95,218.5,232.15
5,1,True,5.95,7.25,22.85
5,2,False,29.35,48.85,67.05
5,3,True,79.4,85.25,99.55
5,4,False,107.35,109.95,122.95
5,5,True,137.25,140.5,156.1
5,6,True,162.6,163.9,186.0
5,7,False,191.85,193.15,207.45
5,8,False,214.6,217.85,234.75
6,1,True,13.75,18.95,35.85
6,2,True,41.7,44.3,57.3
6,3,False,67.05,69.65,85.9
6,4,False,93.05,94.35,108.65
6,5,False,117.1,119.7,133.35
6,6,True,147.65,150.25,164.55
6,7,True,181.45,186.0,200.3
6,8,False,210.7,219.15,232.15
7,1,False,5.3,11.15,30.0
7,2,True,44.3,45.6,60.55
7,3,False,65.75,69.65,82.65
7,4,True,92.4,98.9,117.1
7,5,True,123.6,135.95,148.95
7,6,False,156.75,160.0,173.65
7,7,False,180.8,182.75,197.7
7,8,True,214.6,216.55,230.85
8,1,False,7.25,13.1,33.9
8,2,True,43.65,52.1,67.05
8,3,False,72.25,74.85,88.5
8,4,True,94.35,96.95,110.6
8,5,False,124.25,125.55,140.5
8,6,False,148.95,150.9,163.9
8,7,True,180.15,188.6,202.25
8,8,True,208.1,210.7,228.9
9,1,False,5.3,13.1,26.75
9,2,True,33.25,34.55,50.8
9,3,True,57.95,60.55,75.5
9,4,True,87.85,89.8,110.6
9,5,False,122.3,128.15,143.1
9,6,False,148.95,153.5,168.45
9,7,True,174.3,176.25,189.25
9,8,False,195.75,212.0,226.3
10,1,False,4.0,7.25,20.9
10,2,True,30.0,34.55,54.7
10,3,False,65.75,69.65,83.3
10,4,True,89.15,91.75,105.4
10,5,False,112.55,115.8,132.05
10,6,False,141.8,145.7,163.25
10,7,True,174.3,178.2,192.5
10,8,True,202.25,213.95,230.85
