run,trial,dual,cueStart,trackingStart,respStart
1,1,True,7.25,9.85,28.7
1,2,True,41.7,43.65,56.65
1,3,False,68.35,72.25,85.9
1,4,False,94.35,99.55,116.45
1,5,True,122.3,123.6,143.75
1,6,True,148.95,150.9,165.85
1,7,False,173.0,175.6,192.5
1,8,False,205.5,208.1,227.6
2,1,True,5.3,9.85,22.85
2,2,False,33.9,39.75,52.75
2,3,True,60.55,63.8,77.45
2,4,True,86.55,89.8,102.8
2,5,False,113.85,116.45,137.25
2,6,False,146.35,147.65,170.4
2,7,False,178.2,189.25,206.8
2,8,True,213.3,217.2,234.75
3,1,False,9.2,12.45,30.65
3,2,False,37.8,41.05,56.65
3,3,False,61.85,63.15,78.1
3,4,True,83.95,85.25,103.45
3,5,True,122.95,126.85,141.8
3,6,True,147.65,149.6,173.65
3,7,True,180.8,184.7,204.2
3,8,False,209.4,210.7,223.7
4,1,True,4.0,5.95,22.2
4,2,False,28.7,30.0,43.65
4,3,False,55.35,57.3,72.25
4,4,True,80.05,90.45,113.2
4,5,True,119.7,121.65,134.65
4,6,False,139.85,151.55,166.5
4,7,False,188.6,191.2,206.8
4,8,True,212.65,216.55,231.5
5,1,True,9.2,14.4,35.2
5,2,True,42.35,46.25,60.55
5,3,False,67.7,73.55,87.2
5,4,True,96.95,98.25,113.2
5,5,False,122.95,128.8,148.3
5,6,False,153.5,163.9,176.9
5,7,True,184.05,186.0,199.65
5,8,False,208.75,213.95,229.55
6,1,True,9.2,16.35,30.65
6,2,False,36.5,41.7,57.3
6,3,False,62.5,65.1,87.2
6,4,False,94.35,96.95,114.5
6,5,True,120.35,121.65,145.05
6,6,True,151.55,156.1,169.1
6,7,True,174.95,178.85,193.8
6,8,False,202.9,205.5,228.25
7,1,False,6.6,7.9,24.15
7,2,True,37.15,45.6,59.9
7,3,False,65.75,67.05,85.25
7,4,True,91.1,101.5,119.05
7,5,True,127.5,128.8,143.1
7,6,False,158.05,170.4,184.7
7,7,False,189.9,193.15,210.05
7,8,True,215.25,219.15,232.8
8,1,True,6.6,8.55,24.8
8,2,False,31.95,44.95,59.9
8,3,False,65.1,70.3,87.2
8,4,True,94.35,102.8,116.45
8,5,True,125.55,136.6,150.25
8,6,False,157.4,158.7,176.25
8,7,True,185.35,192.5,207.45
8,8,False,215.9,219.8,232.8
9,1,True,4.0,6.6,19.6
9,2,False,28.7,45.6,60.55
9,3,True,65.75,67.05,80.05
9,4,True,85.9,91.1,105.4
9,5,False,117.75,122.3,136.6
9,6,True,142.45,146.35,167.15
9,7,False,176.9,189.25,202.25
9,8,False,214.6,217.2,231.5
10,1,True,5.95,9.2,23.5
10,2,False,34.55,37.15,51.45
10,3,False,61.85,70.95,91.1
10,4,True,102.8,107.35,120.35
10,5,True,127.5,133.35,147.0
10,6,True,152.85,161.3,180.8
10,7,False,186.65,187.95,206.8
10,8,False,214.6,216.55,230.85
